FULL_ID_FACILITIES (COMPOSITION OF: STR + ID_REGION + ID_ASL + ID_FACILITIES + COD_ASSISTANCE_TYPE),ID_FCAILITIES,ID_REGION,ID_ASL,TOWN,ID_TOWN,POSTAL_CODE,FACILITIES_TYPE,ID_ANTI_DRUG_CLINIC,ID_COMMUNITY_CENTER,COMMUNITY_CENTER_TYPE,ID_DIALYSIS_CENTER,ID_DIURNAL_CENTER,DIURNAL_CENTER_TYPE,ID_FAMILY_COUNSELLING,ID_HOSPICE,ID_HOSPITAL,ID_LABORATORY,ID_MENTAL HEALTH CENTER,ID_MULTIPLE_SCLEROSIS_CLINIC,ID_POLYCLINIC,ID_PROVINCE_HEALTHCARE_CENTER,ID_PSYCHIATRIC_RESIDENCE,ID_PUBLIC SOCIAL_SERVICE_COMPANY,ID_THERMAL_BATH,ID_TREATMENT_CENTER,FACILITIES_NAME_ITA,VAT_NUMBER (PARTITA_IVA),WEB_SITE,E_MAIL,ADDRESS,PHONE,FAX,ID_ASSISTANCE_TYPE,ASSISTANCE_TYPE_ITA,ASSISTANCE_TYPE,FACILITIES_RELATION_TYPE (INSIDE NHS -> TICKET VISIT OR OUTSIDE NHS -> FULL PRICE VISIT) SSN: SERVIZIO SANITARIO NAZIONALE -> NHS: National Health System,FACILITIES_RELATION_TYPE _ITA,UNIT_TYPE,UNIT_TYPE_ITA,LATITUDE_POINT,LONGITUDE_POINT,DECIMAL_DEGREE_LATITUDE_POINT,DECIMAL_DEGREE_LONGITUDE_POINT
STR042101060204S05,60204,42,101,CLES,22062,38023,DIURNAL CENTER,,,,,10,PSYCHIATRIC,,,,,,,,,,,,,CENTRO DIURNO PSICHIATRICO CLES,1429410226,www.apss.tn.it,luisa.ossana@apss.tn.it,VIALE DEGASPERI  31,463660272,463660129,S05,ASSISTENZA PSICHIATRICA,PSYCHIATRIC ASSISTANCE,INSIDE NHS,STRUTTURA DIRETTAMENTE GESTITA,NURSING HOME SECTION,STRUTTURA SEMIRESIDENZIALE,106.08.00,16.23,"46,3608","11,0323"
STR042101080106S05,80106,42,101,TIONE DI TRENTO,22199,38080,DIURNAL CENTER,,,,,11,PSYCHIATRIC,,,,,,,,,,,,,CENTRO DIURNO PSICHIATRICO TIONE,1429410226,,,VIA OSPEDALE  10,465339720,465339715,S05,ASSISTENZA PSICHIATRICA,PSYCHIATRIC ASSISTANCE,INSIDE NHS,STRUTTURA DIRETTAMENTE GESTITA,NURSING HOME SECTION,STRUTTURA SEMIRESIDENZIALE,52.53.00,130.44.00,"46,0413","10,7244"
STR042101100104S05,100104,42,101,ROVERETO,22161,38068,DIURNAL CENTER,,,,,12,PSYCHIATRIC,,,,,,,,,,,,,CENTRO DIURNO PSICHIATRICO ROVERETO,1429410226,www.apss.tn.it,alfredo.vivaldelli@apss.tn.it,PIAZZALE S MARIA  6,464403531,464433612,S05,ASSISTENZA PSICHIATRICA,PSYCHIATRIC ASSISTANCE,INSIDE NHS,STRUTTURA DIRETTAMENTE GESTITA,NURSING HOME SECTION,STRUTTURA SEMIRESIDENZIALE,14768.18.00,711.05.00,"45,883398","11,042005"
STR042101052022S11,52022,42,101,TRENTO,22205,38122,DIURNAL CENTER,,,,,13,REHABILITION FOR DISABLED PEOPLE,,,,,,,,,,,,,CENTRO DIURNO SOCIO RIAB. PER DISABILI ANFFAS - IL PAESE DI OZ - TRENTO,1785780220,www.ilpaesedioz.anffas.tn.it,ilpaesedioz@anffas.tn.it,VIA AOSTA  1   VIA FERMI  40,461923725,461935785,S11,ASSISTENZA AI DISABILI PSICHICI,PSYCHIC DISABLE ASSISTANCE,OUTSIDE NHS,STRUTTURA NON DIRETTAMENTE GESTITA,NURSING HOME SECTION,STRUTTURA SEMIRESIDENZIALE,2145.23.00,990.18.00,"11,128063","46,056658"
STR042101100906S11,100906,42,101,TRENTO,22205,38121,DIURNAL CENTER,,,,,14,REHABILITION FOR DISABLED PEOPLE,,,,,,,,,,,,,CENTRO DIURNO SOCIO RIAB. PER DISABILI AUTISMO - AGSAT - TRENTO,1915050221,,info@agsat.org,VIA PALAZZINE   MASO ZANCANELLA,461427544,461427544,S11,ASSISTENZA AI DISABILI PSICHICI,PSYCHIC DISABLE ASSISTANCE,OUTSIDE NHS,STRUTTURA NON DIRETTAMENTE GESTITA,NURSING HOME SECTION,STRUTTURA SEMIRESIDENZIALE,14686.20.00,571.09.00,"45,87848","11,033609"
STR042101030405S09,30405,42,101,SCURELLE,22171,38050,DIURNAL CENTER,,,,,15,SENIOR,,,,,,,,,,,,,CENTRO DIURNO PER ANZIANI - SCURELLE,988390225,,info@apspborgo.it,VIA XV AGOSTO  48,461754123,461752909,S09,ASSISTENZA AGLI ANZIANI,ELDERLY ASSISTANCE,OUTSIDE NHS,STRUTTURA NON DIRETTAMENTE GESTITA,NURSING HOME SECTION,STRUTTURA SEMIRESIDENZIALE,10707.06.00,85469.41.00,"46,0639666","11,5127521"
STR042101032002S09,32002,42,101,CASTELLO TESINO,22048,38051,DIURNAL CENTER,,,,,16,SENIOR,,,,,,,,,,,,,CENTRO DIURNO PER ANZIANI - CASTELLO TESINO,1025950229,,upipa.castellotesino@mail.infotn.it,VIA F LLI BALLERIN  1,461594166,461592959,S09,ASSISTENZA AGLI ANZIANI,ELDERLY ASSISTANCE,OUTSIDE NHS,STRUTTURA NON DIRETTAMENTE GESTITA,NURSING HOME SECTION,STRUTTURA SEMIRESIDENZIALE,1068.31.00,10560.26.00,"46,061351","11,632966"
STR042101041204S09,41204,42,101,PERGINE VALSUGANA,22139,38057,DIURNAL CENTER,,,,,17,SENIOR,,,,,,,,,,,,,CENTRO DIURNO PER ANZIANI - PERGINE,358720225,,amministrazione@apsp-pergine.it,VIA MARCONI  4,461531002,461532971,S09,ASSISTENZA AGLI ANZIANI,ELDERLY ASSISTANCE,OUTSIDE NHS,STRUTTURA NON DIRETTAMENTE GESTITA,NURSING HOME SECTION,STRUTTURA SEMIRESIDENZIALE,1128.48.00,4059.20.00,"46,064968","11,2429"
STR042101041304S09,41304,42,101,LEVICO TERME,22104,38056,DIURNAL CENTER,,,,,18,SENIOR,,,,,,,,,,,,,CENTRO DIURNO PER ANZIANI - LEVICO TERME,619100225,,segreteria@apsplevicoterme.it,VIA CASOTTE  2,461706464,461706232,S09,ASSISTENZA AGLI ANZIANI,ELDERLY ASSISTANCE,OUTSIDE NHS,STRUTTURA NON DIRETTAMENTE GESTITA,NURSING HOME SECTION,STRUTTURA SEMIRESIDENZIALE,200.27.00,5055.36.00,"46,009267","11,302676"
STR042101052014S09,52014,42,101,TRENTO,22205,38121,DIURNAL CENTER,,,,,19,SENIOR,,,,,,,,,,,,,CENTRO DIURNO PER ANZIANI - GARDOLO - TN,1522650223,,kaleidoscopio@consolida.it,VIA S ANNA  5,461816047,461819056,S09,ASSISTENZA AGLI ANZIANI,ELDERLY ASSISTANCE,OUTSIDE NHS,STRUTTURA NON DIRETTAMENTE GESTITA,NURSING HOME SECTION,STRUTTURA SEMIRESIDENZIALE,1868.18.00,1859.48.00,"46,109338","11,110928"
STR042101052016S09,52016,42,101,TRENTO,22205,38123,DIURNAL CENTER,,,,,20,SENIOR,,,,,,,,,,,,,CENTRO DIURNO PER ANZIANI - CLARINA - TN,1274180221,http://www.delfino.coop,delfino@consolida.it,VIA GRAMSCI  36,461825296,461420004,S09,ASSISTENZA AGLI ANZIANI,ELDERLY ASSISTANCE,OUTSIDE NHS,STRUTTURA NON DIRETTAMENTE GESTITA,NURSING HOME SECTION,STRUTTURA SEMIRESIDENZIALE,937.07.00,2089.10.00,"46,053467","11,12469"
STR042101052017S09,52017,42,101,TRENTO,22205,38123,DIURNAL CENTER,,,,,21,SENIOR,,,,,,,,,,,,,CENTRO DIURNO PER ANZIANI - RAVINA - TN,980950224,www.faicoop.com,info@faicoop.com,VIA BELVEDERE  4,461825296,461420004,S09,ASSISTENZA AGLI ANZIANI,ELDERLY ASSISTANCE,OUTSIDE NHS,STRUTTURA NON DIRETTAMENTE GESTITA,NURSING HOME SECTION,STRUTTURA SEMIRESIDENZIALE,686.43.00,1801.56.00,"46,038443","11,107456"
STR042101052018S09,52018,42,101,TRENTO,22205,38123,DIURNAL CENTER,,,,,22,SENIOR,,,,,,,,,,,,,CENTRO DIURNO PER ANZIANI - MATTARELLO - TN,1288620220,www.cooperativasad.it,info@cooperativasad.it,VIA DON TRENTINI  6,461239596,46123445,S09,ASSISTENZA AGLI ANZIANI,ELDERLY ASSISTANCE,OUTSIDE NHS,STRUTTURA NON DIRETTAMENTE GESTITA,NURSING HOME SECTION,STRUTTURA SEMIRESIDENZIALE,130.59.00,2151.20.00,"46,005099","11,12842"
STR042101052019S09,52019,42,101,TRENTO,22205,38123,DIURNAL CENTER,,,,,23,SENIOR,,,,,,,,,,,,,CENTRO DIURNO PER ANZIANI - POVO - TN,358520229,http://www.apspgrazioli.it/,info@apspgrazioli.it,VIA DELLA RESISTENZA  61/F,461818102,461818129,S09,ASSISTENZA AGLI ANZIANI,ELDERLY ASSISTANCE,OUTSIDE NHS,STRUTTURA NON DIRETTAMENTE GESTITA,NURSING HOME SECTION,STRUTTURA SEMIRESIDENZIALE,1200.16.00,2695.26.00,"46,069256","11,161066"
STR042101060505S09,60505,42,101,CLES,22062,38023,DIURNAL CENTER,,,,,24,SENIOR,,,,,,,,,,,,,CENTRO DIURNO PER ANZIANI - CLES,1022420226,,info@apspcles.it,VIA CHINI  37,463601311,463424730,S09,ASSISTENZA AGLI ANZIANI,ELDERLY ASSISTANCE,OUTSIDE NHS,STRUTTURA NON DIRETTAMENTE GESTITA,NURSING HOME SECTION,STRUTTURA SEMIRESIDENZIALE,6119.17.00,503.13.00,"46,364397","11,029533"
STR042101071202S09,71202,42,101,MALÈ,22110,38027,DIURNAL CENTER,,,,,25,SENIOR,,,,,,,,,,,,,CENTRO DIURNO ANZIANI - MALE',1019290228,www.centroservizimale.it,amministrazione@pec.centroservizimale.it,VIALE 4 NOVEMBRE  4/A,463902062,463902884,S09,ASSISTENZA AGLI ANZIANI,ELDERLY ASSISTANCE,OUTSIDE NHS,STRUTTURA NON DIRETTAMENTE GESTITA,NURSING HOME SECTION,STRUTTURA SEMIRESIDENZIALE,5899.01.00,1526.43.00,"46,351181","10,91003"
STR042101080107S09,80107,42,101,TIONE DI TRENTO,22199,38079,DIURNAL CENTER,,,,,26,SENIOR,,,,,,,,,,,,,CENTRO DIURNO PER ANZIANI - TIONE,1669210229,,organizzazione@coopassistenza.net,VIA MONS  PERLI  11,465322635,,S09,ASSISTENZA AGLI ANZIANI,ELDERLY ASSISTANCE,OUTSIDE NHS,STRUTTURA NON DIRETTAMENTE GESTITA,NURSING HOME SECTION,STRUTTURA SEMIRESIDENZIALE,627.43.00,12116.50.00,"46,034903","10,72641"
STR042101080207S09,80207,42,101,BORGO CHIESE,22238,38083,DIURNAL CENTER,,,,,27,SENIOR,,,,,,,,,,,,,CENTRO DIURNO PER ANZIANI - CONDINO,1022480220,,upipa.condino@mail.infotn.it,VIA C  BATTISTI  6,465621047,465621847,S09,ASSISTENZA AGLI ANZIANI,ELDERLY ASSISTANCE,OUTSIDE NHS,STRUTTURA NON DIRETTAMENTE GESTITA,NURSING HOME SECTION,STRUTTURA SEMIRESIDENZIALE,14868.16.00,9978.36.00,"45,889396","10,598116"
STR042101080402S09,80402,42,101,PORTE DI RENDENA,22244,38080,DIURNAL CENTER,,,,,28,SENIOR,,,,,,,,,,,,,CENTRO DIURNO PER ANZIANI - VILLA RENDENA,2148200229,,serviziosocioassistenziale@comunitadellegiudicarie,C/O CASA APERTA PER ANZIANI,465339526,465321077,S09,ASSISTENZA AGLI ANZIANI,ELDERLY ASSISTANCE,OUTSIDE NHS,STRUTTURA NON DIRETTAMENTE GESTITA,NURSING HOME SECTION,STRUTTURA SEMIRESIDENZIALE,11898.23.00,966.50.00,"10,713303","46,05525"
STR042101092001S09,92001,42,101,LEDRO,22229,38067,DIURNAL CENTER,,,,,29,SENIOR,,,,,,,,,,,,,CENTRO DIURNO PER ANZIANI - BEZZECCA,951530229,,,VIA G CIS   LOC  BEZZECCA  47,464591042,464591414,S09,ASSISTENZA AGLI ANZIANI,ELDERLY ASSISTANCE,OUTSIDE NHS,STRUTTURA NON DIRETTAMENTE GESTITA,NURSING HOME SECTION,STRUTTURA SEMIRESIDENZIALE,14942.47.00,12056.04.00,"45,893867","10,722764"
STR042101092101S09,92101,42,101,RIVA DEL GARDA,22153,38066,DIURNAL CENTER,,,,,30,SENIOR,,,,,,,,,,,,,CENTRO DIURNO PER ANZIANI - RIVA,2086810229,,info@csarivadelgarda.it,VIA ARDARO  20/A,464554280,464556420,S09,ASSISTENZA AGLI ANZIANI,ELDERLY ASSISTANCE,OUTSIDE NHS,STRUTTURA NON DIRETTAMENTE GESTITA,NURSING HOME SECTION,STRUTTURA SEMIRESIDENZIALE,14912.19.00,14036.29.00,"45,892039","10,841589"
STR042101092301S09,92301,42,101,ARCO,22006,38062,DIURNAL CENTER,,,,,31,SENIOR,,,,,,,,,,,,,CENTRO DIURNO PER ANZIANI - ARCO,503560229,,info@feda.it,VIA STRAPPAZOCCHE  18,464532032,464518387,S09,ASSISTENZA AGLI ANZIANI,ELDERLY ASSISTANCE,OUTSIDE NHS,STRUTTURA NON DIRETTAMENTE GESTITA,NURSING HOME SECTION,STRUTTURA SEMIRESIDENZIALE,15344.16.00,14670.09.00,"45,917956","10,879609"
STR042101100108S09,100108,42,101,ROVERETO,22161,38068,DIURNAL CENTER,,,,,32,SENIOR,,,,,,,,,,,,,CENTRO DIURNO PER ANZIANI - LA CASA - ROVERETO,1186250229,,federica.dallaporta@cooplacasa.it,VIA S MARIA  95,3466120400,464490125,S09,ASSISTENZA AGLI ANZIANI,ELDERLY ASSISTANCE,OUTSIDE NHS,STRUTTURA NON DIRETTAMENTE GESTITA,NURSING HOME SECTION,STRUTTURA SEMIRESIDENZIALE,14790.57.00,735.50.00,"45,884757","11,04349"
STR042101100205S09,100205,42,101,ALA,22001,38061,DIURNAL CENTER,,,,,33,SENIOR,,,,,,,,,,,,,CENTRO DIURNO PER ANZIANI - ALA,2206530228,,servizio.sociale@comunitàdellavallagarina.tn.it,PIAZZA GIOVANNI XXIII  2 4,464484252,464498063,S09,ASSISTENZA AGLI ANZIANI,ELDERLY ASSISTANCE,OUTSIDE NHS,STRUTTURA NON DIRETTAMENTE GESTITA,NURSING HOME SECTION,STRUTTURA SEMIRESIDENZIALE,126181.06.00,229.38.00,"45,7568166","11,0013118"
STR042101103003S09,103003,42,101,ROVERETO,22161,38068,DIURNAL CENTER,,,,,34,SENIOR,,,,,,,,,,,,,CENTRO DIURNO PER ANZIANI - VANNETTI - ROVERETO,2086700222,,massimiliano.colombo@apspvannetti.it,VIA VANNETTI  2,464455006,464455010,S09,ASSISTENZA AGLI ANZIANI,ELDERLY ASSISTANCE,OUTSIDE NHS,STRUTTURA NON DIRETTAMENTE GESTITA,NURSING HOME SECTION,STRUTTURA SEMIRESIDENZIALE,14875.26.00,634.57.00,"45,889826","11,037437"
STR042101103102S09,103102,42,101,MORI,22123,38065,DIURNAL CENTER,,,,,35,SENIOR,,,,,,,,,,,,,CENTRO DIURNO PER ANZIANI - MORI,323360222,,direttore@apsp-cesarebenedetti.it,VIA DEL GARDA  54,464918152,464918566,S09,ASSISTENZA AGLI ANZIANI,ELDERLY ASSISTANCE,OUTSIDE NHS,STRUTTURA NON DIRETTAMENTE GESTITA,NURSING HOME SECTION,STRUTTURA SEMIRESIDENZIALE,14527.55.00,16092.08.00,"45,868975","10,964928"
STR042101103203S09,103203,42,101,FOLGARIA,22087,38064,DIURNAL CENTER,,,,,36,SENIOR,,,,,,,,,,,,,CENTRO DIURNO PER ANZIANI - FOLGARIA,493060222,,amministrazione@casalaner.it,VIA PAPA GIOVANNI XXIII  1,464721174,464723442,S09,ASSISTENZA AGLI ANZIANI,ELDERLY ASSISTANCE,OUTSIDE NHS,STRUTTURA NON DIRETTAMENTE GESTITA,NURSING HOME SECTION,STRUTTURA SEMIRESIDENZIALE,15291.45.00,27489.41.00,"45,914805","11,1648721"
STR042101103303S09,103303,42,101,BRENTONICO,22025,38060,DIURNAL CENTER,,,,,37,SENIOR,,,,,,,,,,,,,CENTRO DIURNO PER ANZIANI - BRENTONICO,382550226,,direttore@apspbrentonico.it,VIA BALISTA  7,464395332,464395757,S09,ASSISTENZA AGLI ANZIANI,ELDERLY ASSISTANCE,OUTSIDE NHS,STRUTTURA NON DIRETTAMENTE GESTITA,NURSING HOME SECTION,STRUTTURA SEMIRESIDENZIALE,13668.54.00,15988.30.00,"45,817434","10,95871"
STR042101103402S09,103402,42,101,AVIO,22007,38063,DIURNAL CENTER,,,,,38,SENIOR,,,,,,,,,,,,,CENTRO DIURNO PER ANZIANI - AVIO,1124240225,,direttore@apspavio.it,VIA CAMPAGNOLA  5,464688023,464688193,S09,ASSISTENZA AGLI ANZIANI,ELDERLY ASSISTANCE,OUTSIDE NHS,STRUTTURA NON DIRETTAMENTE GESTITA,NURSING HOME SECTION,STRUTTURA SEMIRESIDENZIALE,12273.19.00,15634.25.00,"45,733699","10,937465"
STR042101103502S09,103502,42,101,NOMI,22128,38060,DIURNAL CENTER,,,,,39,SENIOR,,,,,,,,,,,,,CENTRO DIURNO PER ANZIANI - NOMI,338730229,,info@operaromani.it,VIA ROMA  21,464839422,464839434,S09,ASSISTENZA AGLI ANZIANI,ELDERLY ASSISTANCE,OUTSIDE NHS,STRUTTURA NON DIRETTAMENTE GESTITA,NURSING HOME SECTION,STRUTTURA SEMIRESIDENZIALE,15536.40.00,1226.00.00,"45,9295","11,0729"
STR042101010105S04,10105,42,101,CAVALESE,22050,38033,FAMILY COUNSELLING,,,,,,,1,,,,,,,,,,,,CONSULTORIO CAVALESE,1429410226,,irene.decrestina@apss.tn.it,VIA ROMA  4,462242360,462242369,S04,ATTIVITA` DI CONSULTORIO MATERNO-INFANTILE,MATERNAL-INFANT FAMILY COUNSULLING ACTIVITIES,INSIDE NHS,STRUTTURA DIRETTAMENTE GESTITA,OTHER TYPE,ALTRO TIPO DI STRUTTURA TERRITORIALE,529.37.00,7743.26.00,"46,29017","11,463946"
STR042101020102S04,20102,42,101,PRIMIERO SAN MARTINO DI CASTROZZA,22245,38054,FAMILY COUNSELLING,,,,,,,2,,,,,,,,,,,,CONSULTORIO  PRIMIERO,1429410226,www.apss.tn.it,consultorio.familiare.tonadico@apss.tn.it,VIA ROMA  1,439764480,439764413,S04,ATTIVITA` DI CONSULTORIO MATERNO-INFANTILE,MATERNAL-INFANT FAMILY COUNSULLING ACTIVITIES,INSIDE NHS,STRUTTURA DIRETTAMENTE GESTITA,OTHER TYPE,ALTRO TIPO DI STRUTTURA TERRITORIALE,3008.31.00,13869.39.00,"46,177751","11,831519"
STR042101030401S04,30401,42,101,BORGO VALSUGANA,22022,38051,FAMILY COUNSELLING,,,,,,,3,,,,,,,,,,,,CONSULTORIO  BORGO,1429410226,www.apss.tn.it,consultoriofamiliareborgo@apss.tn.it,VIALE VICENZA  9,461755650,461755658,S04,ATTIVITA` DI CONSULTORIO MATERNO-INFANTILE,MATERNAL-INFANT FAMILY COUNSULLING ACTIVITIES,INSIDE NHS,STRUTTURA DIRETTAMENTE GESTITA,OTHER TYPE,ALTRO TIPO DI STRUTTURA TERRITORIALE,956.43.00,7678.20.00,"46,054643","11,46004"
STR042101040102S04,40102,42,101,PERGINE VALSUGANA,22139,38057,FAMILY COUNSELLING,,,,,,,4,,,,,,,,,,,,CONSULTORIO  PERGINE,1429410226,www.apss.tn.it,,VIA S  PIETRO  2,461515367,461515392,S04,ATTIVITA` DI CONSULTORIO MATERNO-INFANTILE,MATERNAL-INFANT FAMILY COUNSULLING ACTIVITIES,INSIDE NHS,STRUTTURA DIRETTAMENTE GESTITA,OTHER TYPE,ALTRO TIPO DI STRUTTURA TERRITORIALE,56.33.00,51.49.00,"46,0633","11,2449"
STR042101050404S04,50404,42,101,MEZZOLOMBARDO,22117,38017,FAMILY COUNSELLING,,,,,,,5,,,,,,,,,,,,CONSULTORIO MEZZOLOMBARDO,1429410226,,,VIA DAMIANO CHIESA  6,461611276,,S04,ATTIVITA` DI CONSULTORIO MATERNO-INFANTILE,MATERNAL-INFANT FAMILY COUNSULLING ACTIVITIES,INSIDE NHS,STRUTTURA DIRETTAMENTE GESTITA,OTHER TYPE,ALTRO TIPO DI STRUTTURA TERRITORIALE,3613.03.00,1613.23.00,"46,214023","11,096143"
STR042101050801S04,50801,42,101,TRENTO,22205,38122,FAMILY COUNSELLING,,,,,,,6,,,,,,,,,,,,CONSULTORIO TRENTO,1429410226,www.apss.tn.it,consultorio.familiare.trento1@apss.tn.it,VIA MALTA  12,461902190,461902199,S04,ATTIVITA` DI CONSULTORIO MATERNO-INFANTILE,MATERNAL-INFANT FAMILY COUNSULLING ACTIVITIES,INSIDE NHS,STRUTTURA DIRETTAMENTE GESTITA,OTHER TYPE,ALTRO TIPO DI STRUTTURA TERRITORIALE,1079.15.00,2132.36.00,"46,061995","11,127296"
STR042101051900S04,51900,42,101,TRENTO,22205,38122,FAMILY COUNSELLING,,,,,,,7,,,,,,,,,,,,CONSULTORIO FAMILIARE UCIPEM,1464370228,,consultorioucipem@virgilio.it,VIA FERRUCCIO  1,461233004,461223196,S04,ATTIVITA` DI CONSULTORIO MATERNO-INFANTILE,MATERNAL-INFANT FAMILY COUNSULLING ACTIVITIES,OUTSIDE NHS,STRUTTURA NON DIRETTAMENTE GESTITA,OTHER TYPE,ALTRO TIPO DI STRUTTURA TERRITORIALE,1193.31.00,2109.47.00,"46,068851","11,125927"
STR042101060701S04,60701,42,101,CLES,22062,38023,FAMILY COUNSELLING,,,,,,,8,,,,,,,,,,,,CONSULTORIO CLES,1429410226,www.apss.tn.it,consultorio.familiare.cles@apss.tn.it,VIA ROMANA  55,463422132,463608273,S04,ATTIVITA` DI CONSULTORIO MATERNO-INFANTILE,MATERNAL-INFANT FAMILY COUNSULLING ACTIVITIES,INSIDE NHS,STRUTTURA DIRETTAMENTE GESTITA,OTHER TYPE,ALTRO TIPO DI STRUTTURA TERRITORIALE,6088.36.00,628.59.00,"46,362556","11,037079"
STR042101070201S04,70201,42,101,MALÈ,22110,38027,FAMILY COUNSELLING,,,,,,,9,,,,,,,,,,,,CONSULTORIO MALE',1429410226,www.apss.tn.it,,VIA IV NOVEMBRE  8,463909419,,S04,ATTIVITA` DI CONSULTORIO MATERNO-INFANTILE,MATERNAL-INFANT FAMILY COUNSULLING ACTIVITIES,INSIDE NHS,STRUTTURA DIRETTAMENTE GESTITA,OTHER TYPE,ALTRO TIPO DI STRUTTURA TERRITORIALE,5882.34.00,15177.41.00,"46,350194","10,910061"
STR042101080104S04,80104,42,101,TIONE DI TRENTO,22199,38079,FAMILY COUNSELLING,,,,,,,10,,,,,,,,,,,,CONSULTORIO FAMILIARE TIONE,1429410226,www.apss.tn.it,consultorio.familiare.tione@apss.tn.it,VIA DELLA CROS  4,465331530,465331527,S04,ATTIVITA` DI CONSULTORIO MATERNO-INFANTILE,MATERNAL-INFANT FAMILY COUNSULLING ACTIVITIES,INSIDE NHS,STRUTTURA DIRETTAMENTE GESTITA,OTHER TYPE,ALTRO TIPO DI STRUTTURA TERRITORIALE,725.44.00,12120.15.00,"46,040784","10,726615"
STR042101091003S04,91003,42,101,RIVA DEL GARDA,22153,38066,FAMILY COUNSELLING,,,,,,,11,,,,,,,,,,,,CONSULTORIO RIVA DEL GARDA,1429410226,www.apss.tn.it,marina.bassetti@apss.tn.it,VIA ROSMINI  5/B,464582706,464582695,S04,ATTIVITA` DI CONSULTORIO MATERNO-INFANTILE,MATERNAL-INFANT FAMILY COUNSULLING ACTIVITIES,INSIDE NHS,STRUTTURA DIRETTAMENTE GESTITA,OTHER TYPE,ALTRO TIPO DI STRUTTURA TERRITORIALE,14883.28.00,14016.41.00,"45,890308","10,840401"
STR042101100802S04,100802,42,101,ROVERETO,22161,38068,FAMILY COUNSELLING,,,,,,,12,,,,,,,,,,,,CONSULTORIO FAMILIARE ROVERETO,1429410226,www.apss.tn.it,,VIA S  GIOVANNI BOSCO  6,464403675,464403623,S04,ATTIVITA` DI CONSULTORIO MATERNO-INFANTILE,MATERNAL-INFANT FAMILY COUNSULLING ACTIVITIES,INSIDE NHS,STRUTTURA DIRETTAMENTE GESTITA,OTHER TYPE,ALTRO TIPO DI STRUTTURA TERRITORIALE,14913.06.00,698.54.00,"45,892086","11,041274"
STR042101050400S12,50400,42,101,TRENTO,22205,38122,HOSPICE,,,,,,,,1,,,,,,,,,,,HOSPICE TRENTO VILLA IGEA,1429410226,www.apss.tn.it,CurePalliativeHospice@apss.tn.it,VIA MALTA  16,461611137,461611133,S12,ASSISTENZA AI MALATI TERMINALI,TERMINAL ILL ASSISTANCE,INSIDE NHS,STRUTTURA DIRETTAMENTE GESTITA,NURSING HOME,STRUTTURA RESIDENZIALE,56.17.00,32.19.00,"46,0617","11,1279"
STR042101050407S12,50407,42,101,TRENTO,22205,38123,HOSPICE,,,,,,,,2,,,,,,,,,,,FONDAZIONE HOSPICE TRENTINO ONLUS,2448380225,,info@fondazionehospicetn.it,VIA C  MENGUZZATO  48,461239131,,S12,ASSISTENZA AI MALATI TERMINALI,TERMINAL ILL ASSISTANCE,OUTSIDE NHS,STRUTTURA NON DIRETTAMENTE GESTITA,NURSING HOME,STRUTTURA RESIDENZIALE,2297.38.00,686.32.00,"11,137198","46,038432"
STR042101103103S12,103103,42,101,MORI,22123,38065,HOSPICE,,,,,,,,3,,,,,,,,,,,HOSPICE MORI,323360222,www.apsp-cesarebenedetti.it,segreteria@apsp-cesarebenedetti.it,VIA DEL GARDA  54,464918152,464918566,S12,ASSISTENZA AI MALATI TERMINALI,TERMINAL ILL ASSISTANCE,OUTSIDE NHS,STRUTTURA NON DIRETTAMENTE GESTITA,NURSING HOME,STRUTTURA RESIDENZIALE,14527.55.00,16092.08.00,"45,868975","10,964928"
STR042101010101S01,10101,42,101,CAVALESE,22050,38033,HOSPITAL,,,,,,,,,1,,,,,,,,,,PRESIDIO OSPEDALIERO DI CAVALESE,1429410226,www.apss.tn.it,pierantonio.scappini@apss.tn.it,VIA DOSSI  17,462341045,462242114,S01,ATTIVITA` CLINICA,CLINICAL ACTIVITIES,INSIDE NHS,STRUTTURA DIRETTAMENTE GESTITA,"CLINIC, LABORATORY",AMBULATORIO E LABORATORIO,94.04.00,86.51.00,"46,2884","11,4551"
STR042101010101S02,10101,42,101,CAVALESE,22050,38033,HOSPITAL,,,,,,,,,2,,,,,,,,,,PRESIDIO OSPEDALIERO DI CAVALESE,1429410226,www.apss.tn.it,pierantonio.scappini@apss.tn.it,VIA DOSSI  17,462341045,462242114,S02,DIAGNOSTICA STRUMENTALE E PER IMMAGINI,INSTRUMENTAL IMAGING AND DIAGNOSIS,INSIDE NHS,STRUTTURA DIRETTAMENTE GESTITA,"CLINIC, LABORATORY",AMBULATORIO E LABORATORIO,94.04.00,86.51.00,"46,2884","11,4551"
STR042101010101S03,10101,42,101,CAVALESE,22050,38033,HOSPITAL,,,,,,,,,3,,,,,,,,,,PRESIDIO OSPEDALIERO DI CAVALESE,1429410226,www.apss.tn.it,pierantonio.scappini@apss.tn.it,VIA DOSSI  17,462341045,462242114,S03,ATTIVITA` DI LABORATORIO,LABORATORY ACTIVITIES,INSIDE NHS,STRUTTURA DIRETTAMENTE GESTITA,"CLINIC, LABORATORY",AMBULATORIO E LABORATORIO,94.04.00,86.51.00,"46,2884","11,4551"
